slug,earning_after_first_date,expense_after_first_date,earning_after_first_expense,expense_after_first_expense
hznupeter/mixly_wiki,527.0,0.0,,
chinese-poetry/chinese-poetry,,,,
choojs/choo,1733.0,-200.0,1537.0,-200.0
choojs/bankai,,,,
choojs/create-choo-app,,,,
stackhtml/documentify,,,,
choojs/create-choo-electron,,,,
choojs/choo-scaffold,,,,
AbhishekShaha/web-crawler-python,,,,
Spanarchian/ShowMeOff,,,,
CirclesUBI/docs,3285.0,-2667.9,210.0,-713.96
CirclesUBI/circles-contracts,3285.0,-2667.9,210.0,-713.96
CirclesUBI/circles-mobile,3285.0,-2667.9,210.0,-713.96
CirclesUBI/infrastructure-provisioning,3285.0,-2667.9,210.0,-713.96
CirclesUBI/circles-api,3285.0,-2667.9,210.0,-713.96
CirclesUBI/circles-website,3285.0,-2667.9,210.0,-713.96
CirclesUBI/cafe-grundeinkommen-website,3285.0,-2667.9,210.0,-713.96
thangchung/clean-code-dotnet,5.0,0.0,,
Clipy/Clipy,169.0,0.0,,
leanhtuan1996/cloudboost,,,,
ritishgumber/file-ui,,,,
ritishgumber/analytics-ui,,,,
coderaiser/cloudcmd,10.0,0.0,,
Humanitarian-AI/Pizza-fund,10000.0,-8618.25,0.0,-50.0
agentejo/cockpit,114.0,0.0,,
yochannah/code-is-science,,,,
prateekiiest/Code-Sleep-Python,,,,
ashutoshtiwari13/Simple-Random-Search,,,,
